,,,,,,,,,,,n,a,b,c,,,
23.60111025,0.691332185,,93.53020382,1.410091722,,1.280416769,1.332594963,1.389121339,,43968,91,0.870325047,0.922503241,0.979029617,,1.410091722,0.410091722
23.60315169,0.799528887,,94.54735489,1.405498466,,1.315284273,1.367462466,1.428337025,,43969,92,0.909785807,0.961964,1.022838559,,1.405498466,0.405498466
24.61690035,0.614607794,,95.52554835,1.409751481,,1.341455411,1.389285421,1.454508163,,43970,93,0.93170393,0.97953394,1.044756682,,1.409751481,0.409751481
24.61860156,0.704771712,,96.54286954,1.414174616,,1.315448355,1.371974731,1.437197473,,43971,94,0.901273739,0.957800115,1.023022857,,1.414174616,0.414174616
24.62949873,1.1095217,,97.63844621,1.418937993,,1.33308721,1.389613586,1.446222003,,43972,95,0.914149217,0.970675593,1.02728401,,1.418937993,0.418937993
24.6594305,0.795105751,,98.6557674,1.423361129,,1.354992206,1.407088358,1.468044959,,43973,96,0.931631077,0.983727229,1.04468383,,1.423361129,0.423361129
25.63490203,0.655096497,,99.67325871,1.436800656,,1.363770613,1.415948806,1.476823365,,43974,97,0.926969957,0.97914815,1.040022709,,1.436800656,0.436800656
25.66191812,1.10774961,,100.6904098,1.4322074,,1.35942243,1.411600624,1.472475183,,43975,98,0.92721503,0.979393223,1.040267782,,1.4322074,0.4322074
25.67249868,0.574119091,,101.7468587,1.436800656,,1.372713102,1.424891295,1.485765854,,43976,99,0.935912446,0.988090639,1.048965198,,1.436800656,0.436800656
25.67539073,0.727397752,,102.7641799,1.441223792,,1.329313315,1.381491509,1.433669702,,43977,100,0.888089523,0.940267717,0.99244591,,1.441223792,0.441223792
26.65018177,0.551322931,,103.8206288,1.445817048,,1.372959226,1.425055378,1.486011978,,43978,101,0.927142177,0.97923833,1.04019493,,1.445817048,0.445817048
26.68811866,0.488378308,,104.7596945,1.449899943,,1.385921733,1.438181967,1.503404709,,43979,102,0.93602179,0.988282025,1.053504767,,1.449899943,0.449899943
26.69050035,0.614607794,,105.8552712,1.454663319,,1.394946263,1.447124456,1.507999016,,43980,103,0.940282944,0.992461137,1.053335696,,1.454663319,0.454663319
26.69985699,1.110509344,,106.8725924,1.459086455,,1.408072853,1.473377636,1.525473788,,43981,104,0.948986398,1.014291181,1.066387333,,1.459086455,0.459086455
27.70492949,0.465752268,,107.8899136,1.463509591,,1.425629666,1.486504225,1.538682419,,43982,105,0.962120075,1.022994635,1.075172828,,1.463509591,0.463509591
27.70595022,0.519850619,,108.8682772,1.476778997,,1.421199442,1.47780786,1.534252195,,43983,106,0.944420445,1.001028862,1.057473197,,1.476778997,0.476778997
27.70697094,0.57394897,,109.9636837,1.472525982,,1.456313069,1.521535811,1.58241037,,43984,107,0.983787087,1.049009829,1.109884388,,1.472525982,0.472525982
27.7173483,1.123948872,,110.9810049,1.476949118,,1.569447863,1.513003528,1.630322422,,43985,108,1.092498745,1.03605441,1.153373304,,1.476949118,0.476949118
28.72242081,0.479191796,,111.9983261,1.481372254,,1.521781935,1.582656494,1.643531053,,43986,109,1.040409681,1.10128424,1.162158799,,1.481372254,0.481372254
28.72327141,0.524273755,,113.0156473,1.485795389,,1.517351711,1.57822627,1.639100829,,43987,110,1.031556321,1.09243088,1.153305439,,1.485795389,0.485795389
28.72429213,0.578372106,,114.0720962,1.490388645,,1.500205103,1.552465338,1.613257855,,43988,111,1.009816457,1.062076692,1.12286921,,1.490388645,0.490388645
28.73466949,1.128372008,,115.0894174,1.494811781,,1.504717368,1.561243744,1.617770121,,43989,112,1.009905587,1.066431963,1.122958339,,1.494811781,0.494811781
29.74229381,0.618860809,,116.1067386,1.499234917,,1.509229633,1.561407827,1.617934203,,43990,113,1.009994717,1.06217291,1.118699286,,1.499234917,0.499234917
29.7793801,0.510834228,,117.1240598,1.503658052,,1.487406678,1.548363278,1.604807613,,43991,114,0.983748626,1.044705226,1.101149561,,1.503658052,0.503658052
29.78040082,0.564932579,,118.141381,1.508081188,,1.461563705,1.513905981,1.570268275,,43992,115,0.953482517,1.005824793,1.062187087,,1.508081188,0.508081188
29.7909483,1.123948872,,119.1978299,1.512674444,,1.435638691,1.487816884,1.539995078,,43993,116,0.922964246,0.97514244,1.027320633,,1.512674444,0.512674444
30.79806225,0.587388498,,120.2151511,1.51709758,,1.409713676,1.46189187,1.514070063,,43994,117,0.892616096,0.94479429,0.996972483,,1.51709758,0.51709758
30.79891286,0.632470457,,121.2324723,1.521520715,,1.392238904,1.448847321,1.501025515,,43995,118,0.870718189,0.927326606,0.979504799,,1.521520715,0.521520715
30.8001037,0.6955852,,122.2890913,1.535130363,,1.392485027,1.444663221,1.496841414,,43996,119,0.857354664,0.909532857,0.961711051,,1.535130363,0.535130363
30.80826949,1.128372008,,123.3064125,1.539553499,,1.388300927,1.444827303,1.50135368,,43997,120,0.848747428,0.905273804,0.96180018,,1.539553499,0.539553499
31.81657429,0.654926376,,124.3237337,1.543976635,,1.436130938,1.492739355,1.54499959,,43998,121,0.892154303,0.94876272,1.001022955,,1.543976635,0.543976635
31.81776513,0.718041119,,125.3410549,1.54839977,,1.444909344,1.497087538,1.562392321,,43999,122,0.896509574,0.948687768,1.013992551,,1.54839977,0.54839977
31.81878586,0.77213947,,126.3973337,1.543976635,,1.40167364,1.453851834,1.514726393,,44000,123,0.857697005,0.909875199,0.970749758,,1.543976635,0.543976635
31.82559068,1.132795143,,,,,,,,,,,,,,,,
32.83712777,0.830660957,,,,,,,,,,,,,,,,
32.84291187,1.137218279,,,,,,,,,,,,,,,,
32.84420379,0.768889983,,,,,,,,,,,,,,,,
32.84674707,0.903683649,,,,,,,,,,,,,,,,
33.86040318,1.150657806,,,,,,,,,,,,,,,,
33.88473214,0.91689228,,,,,,,,,,,,,,,,
33.88612684,0.990811387,,,,,,,,,,,,,,,,
33.88760358,1.069078677,,,,,,,,,,,,,,,,
34.90778571,1.138731643,,,,,,,,,,,,,,,,
34.91685211,1.155251062,,,,,,,,,,,,,,,,
34.92526048,1.064894577,,,,,,,,,,,,,,,,
34.92846009,1.234473706,,,,,,,,,,,,,,,,
35.94847814,1.295430306,,,,,,,,,,,,,,,,
35.950201,1.386742145,,,,,,,,,,,,,,,,
35.95208795,1.486750349,,,,,,,,,,,,,,,,
35.97330104,1.159844319,,,,,,,,,,,,,,,,
36.97382886,1.639018787,,,,,,,,,,,,,,,,
36.97579785,1.743375174,,,,,,,,,,,,,,,,
36.99062223,1.164267454,,,,,,,,,,,,,,,,
36.99081139,1.539092624,,,,,,,,,,,,,,,,
38.0077733,1.159674198,,,,,,,,,,,,,,,,
38.01132168,1.626138321,,,,,,,,,,,,,,,,
38.01320863,1.726146526,,,,,,,,,,,,,,,,
38.01517762,1.830502912,,,,,,,,,,,,,,,,
39.02526462,1.173113725,,,,,,,,,,,,,,,,
39.03232423,1.739273115,,,,,,,,,,,,,,,,
39.04930675,1.639346952,,,,,,,,,,,,,,,,
39.05308065,1.83936336,,,,,,,,,,,,,,,,
40.04241569,1.168520469,,,,,,,,,,,,,,,,
40.0689146,1.678562638,,,,,,,,,,,,,,,,
40.07063746,1.769874477,,,,,,,,,,,,,,,,
40.07244237,1.865534498,,,,,,,,,,,,,,,,
41.0874559,1.661251948,,,,,,,,,,,,,,,,
41.08909673,1.748215604,,,,,,,,,,,,,,,,
41.09065551,1.830831077,,,,,,,,,,,,,,,,
41.09886462,1.173113725,,,,,,,,,,,,,,,,
42.10591517,1.639593076,,,,,,,,,,,,,,,,
42.10747395,1.722208549,,,,,,,,,,,,,,,,
42.11618581,1.177536861,,,,,,,,,,,,,,,,
42.12782017,1.80055788,,,,,,,,,,,,,,,,
43.13367712,1.190976389,,,,,,,,,,,,,,,,
43.14447453,1.683238986,,,,,,,,,,,,,,,,
43.14595127,1.761506276,,,,,,,,,,,,,,,,
43.1619493,1.60940192,,,,,,,,,,,,,,,,
44.1800804,1.570350316,,,,,,,,,,,,,,,,
44.18139306,1.63992124,,,,,,,,,,,,,,,,
44.18278776,1.713840348,,,,,,,,,,,,,,,,
44.18995593,1.186553253,,,,,,,,,,,,,,,,
45.19870375,1.557387809,,,,,,,,,,,,,,,,
45.19993437,1.62261055,,,,,,,,,,,,,,,,
45.20124703,1.692181475,,,,,,,,,,,,,,,,
45.20727712,1.190976389,,,,,,,,,,,,,,,,
46.22476843,1.204415916,,,,,,,,,,,,,,,,
46.23668882,1.570596439,,,,,,,,,,,,,,,,
46.23783739,1.631470998,,,,,,,,,,,,,,,,
46.23915005,1.701041923,,,,,,,,,,,,,,,,
47.24208962,1.208839052,,,,,,,,,,,,,,,,
47.25375338,1.475018459,,,,,,,,,,,,,,,,
47.25481992,1.531544836,,,,,,,,,,,,,,,,
47.2559685,1.592419395,,,,,,,,,,,,,,,,
48.28968742,1.37952252,,,,,,,,,,,,,,,,
48.290836,1.440397079,,,,,,,,,,,,,,,,
48.29182049,1.492575273,,,,,,,,,,,,,,,,
48.29853855,1.213432308,,,,,,,,,,,,,,,,
49.30699811,1.296989089,,,,,,,,,,,,,,,,
49.30790057,1.344819099,,,,,,,,,,,,,,,,
49.30888506,1.396997293,,,,,,,,,,,,,,,,
49.31585974,1.217855443,,,,,,,,,,,,,,,,
50.33301081,1.213262187,,,,,,,,,,,,,,,,
50.34399869,1.258019526,,,,,,,,,,,,,,,,
50.34498318,1.310197719,,,,,,,,,,,,,,,,
50.34580359,1.353679547,,,,,,,,,,,,,,,,
51.36254,1.240708836,,,,,,,,,,,,,,,,
51.36344245,1.288538847,,,,,,,,,,,,,,,,
51.36426286,1.332020674,,,,,,,,,,,,,,,,
51.38945974,1.217855443,,,,,,,,,,,,,,,,
52.38264009,1.306013619,,,,,,,,,,,,,,,,
52.39962261,1.206087456,,,,,,,,,,,,,,,,
52.4006071,1.258265649,,,,,,,,,,,,,,,,
52.40678093,1.222278579,,,,,,,,,,,,,,,,
53.41783575,1.171384035,,,,,,,,,,,,,,,,
53.41857412,1.21051768,,,,,,,,,,,,,,,,
53.41947658,1.258347691,,,,,,,,,,,,,,,,
53.42410212,1.226701715,,,,,,,,,,,,,,,,
54.45500041,1.141110838,,,,,,,,,,,,,,,,
54.45582082,1.184592666,,,,,,,,,,,,,,,,
54.45664123,1.228074493,,,,,,,,,,,,,,,,
54.48072117,1.240311363,,,,,,,,,,,,,,,,
55.45874451,1.235547986,,,,,,,,,,,,,,,,
55.47403397,1.149889244,,,,,,,,,,,,,,,,
55.47485438,1.193371072,,,,,,,,,,,,,,,,
55.47575683,1.241201083,,,,,,,,,,,,,,,,
56.49528263,1.276068586,,,,,,,,,,,,,,,,
56.5123472,1.180490606,,,,,,,,,,,,,,,,
56.51316761,1.223972434,,,,,,,,,,,,,,,,
56.51536356,1.249157634,,,,,,,,,,,,,,,,
57.53039626,1.13709082,,,,,,,,,,,,,,,,
57.53121667,1.180572647,,,,,,,,,,,,,,,,
57.53203708,1.224054475,,,,,,,,,,,,,,,,
57.53268475,1.25358077,,,,,,,,,,,,,,,,
58.55000594,1.258003905,,,,,,,,,,,,,,,,
58.55066043,1.211091968,,,,,,,,,,,,,,,,
58.56788908,1.124210354,,,,,,,,,,,,,,,,
58.56870949,1.167692181,,,,,,,,,,,,,,,,
59.567725,1.115513988,,,,,,,,,,,,,,,,
59.56854541,1.158995816,,,,,,,,,,,,,,,,
59.58823529,1.202559685,,,,,,,,,,,,,,,,
59.60645487,1.262597161,,,,,,,,,,,,,,,,
60.60571007,1.128722619,,,,,,,,,,,,,,,,
60.60653048,1.172204447,,,,,,,,,,,,,,,,
60.60735089,1.215686275,,,,,,,,,,,,,,,,
60.62377606,1.267020297,,,,,,,,,,,,,,,,
61.62654853,1.233161047,,,,,,,,,,,,,,,,
61.64109725,1.271443433,,,,,,,,,,,,,,,,
61.64459759,1.18976126,,,,,,,,,,,,,,,,
61.64640249,1.285421281,,,,,,,,,,,,,,,,
62.65841844,1.275866568,,,,,,,,,,,,,,,,
62.66363114,1.198539667,,,,,,,,,,,,,,,,
62.6645336,1.246369678,,,,,,,,,,,,,,,,
62.66551809,1.298547871,,,,,,,,,,,,,,,,
63.70095988,1.176962835,,,,,,,,,,,,,,,,
63.70178029,1.220444663,,,,,,,,,,,,,,,,
63.70260071,1.263926491,,,,,,,,,,,,,,,,
63.71486737,1.280459824,,,,,,,,,,,,,,,,
64.72073181,1.224874887,,,,,,,,,,,,,,,,
64.72155222,1.268356715,,,,,,,,,,,,,,,,
64.72245467,1.316186726,,,,,,,,,,,,,,,,
64.73218856,1.28488296,,,,,,,,,,,,,,,,
65.74950975,1.289306096,,,,,,,,,,,,,,,,
65.75830667,1.216342604,,,,,,,,,,,,,,,,
65.75920912,1.264172615,,,,,,,,,,,,,,,,
65.76011158,1.312002625,,,,,,,,,,,,,,,,
66.76666083,1.284712839,,,,,,,,,,,,,,,,
66.77717614,1.216424645,,,,,,,,,,,,,,,,
66.77799655,1.259906473,,,,,,,,,,,,,,,,
66.77898105,1.312084667,,,,,,,,,,,,,,,,
67.79727623,1.281729428,,,,,,,,,,,,,,,,
67.81450488,1.194847814,,,,,,,,,,,,,,,,
67.81532529,1.238329641,,,,,,,,,,,,,,,,
67.82327988,1.298322487,,,,,,,,,,,,,,,,
